swmatrix_pin,name,v1_pin,v3_pin,Waferspace_COB_Pin,V1_Chip_PCB_Net_Name,Ideal Name (not used)
86,NMOS_INT_S_7,0,0,,,
87,NMOS_INT_D_8,0,0,,,
88,NMOS_INT_G_8,0,0,,,
89,NMOS_INT_S_8,0,0,,,
90,NMOS_INT_D_9,0,0,,,
91,NMOS_INT_G_9,0,0,,,
92,NMOS_INT_S_9,0,0,,,
93,PMOS_INT_D_0,0,0,,,
94,PMOS_INT_G_0,0,0,,,
95,PMOS_INT_S_0,0,0,,,
96,PMOS_INT_D_1,0,0,,,
97,PMOS_INT_G_1,0,0,,,
98,PMOS_INT_S_1,0,0,,,
99,PMOS_INT_D_2,0,0,,,
100,PMOS_INT_G_2,0,0,,,
101,PMOS_INT_S_2,0,0,,,
102,PMOS_INT_D_3,0,0,,,
103,PMOS_INT_G_3,0,0,,,
104,PMOS_INT_S_3,0,0,,,
105,PMOS_INT_D_4,0,0,,,
106,PMOS_INT_G_4,0,0,,,
107,PMOS_INT_S_4,0,0,,,
108,PMOS_INT_D_5,0,0,,,
109,PMOS_INT_G_5,0,0,,,
110,PMOS_INT_S_5,0,0,,,
111,PMOS_INT_D_6,0,0,,,
112,PMOS_INT_G_6,0,0,,,
113,PMOS_INT_S_6,0,0,,,
114,PMOS_INT_D_7,0,0,,,
115,PMOS_INT_G_7,0,0,,,
116,PMOS_INT_S_7,0,0,,,
117,PMOS_INT_D_8,0,0,,,
118,PMOS_INT_G_8,0,0,,,
119,PMOS_INT_S_8,0,0,,,
120,PMOS_INT_D_9,0,0,,,
121,PMOS_INT_G_9,0,0,,,
122,PMOS_INT_S_9,0,0,,,
123,DFF_D_1,0,0,,,
124,DFF_Q_1,0,0,,,
125,DFF_CLK_1,0,0,,,
126,DFF_RST_1,0,0,,,
127,DFF_D_2,0,0,,,
128,DFF_Q_2,0,0,,,
129,DFF_CLK_2,0,0,,,
130,DFF_RST_2,0,0,,,
